objID,nDetections,raMean,decMean,gMeanPSFMag,gMeanPSFMagErr,rMeanPSFMag,rMeanPSFMagErr,iMeanPSFMag,iMeanPSFMagErr,zMeanPSFMag,zMeanPSFMagErr
106230123552788390,51,12.35531842,-1.46837376,14.6879997253418,0.000521000009030104,14.1653003692627,0.00273999990895391,13.9288997650146,0.00101799995172769,13.8612003326416,0.000874000019393861
106330117511029893,89,11.75116563,-1.38379167,15.8003997802734,0.00604500016197562,15.0916996002197,0.0034109998960048,14.8137998580933,0.00368400011211634,14.6981000900269,0.00262699997983873
106370126471803558,74,12.64716879,-1.35574631,14.4364004135132,0.0172179993242025,14.0359001159668,0.00535199977457523,13.8803997039795,0.0104769999161363,13.8225002288818,0.00286999996751547
106310120703906932,72,12.0704796,-1.40294702,15.8569002151489,0.00374899990856647,15.1712999343872,0.00516400020569563,14.8991003036499,0.00335699995048344,14.8059997558594,0.00380899989977479
106270133120563904,63,13.31209167,-1.43880784,14.2932996749878,0.000531999976374209,13.882399559021,0.00466299988329411,13.7323999404907,0.00299099995754659,13.6950998306274,0.00362399988807738
106250118639903653,77,11.8640807,-1.45567539,14.9064998626709,0.00247700000181794,14.5356998443604,0.00313200009986758,14.4161996841431,0.00532899983227253,14.3875999450684,0.00216199993155897
106350117273720642,84,11.72743605,-1.37484467,15.3587999343872,0.00741499988362193,14.9787998199463,0.00433300016447902,14.8436002731323,0.00399899994954467,14.8221998214722,0.00319899991154671
106210135090836853,81,13.50915404,-1.48634243,15.2634000778198,0.00276400009170175,14.9195995330811,0.00251700007356703,14.7952995300293,0.00104500004090369,14.7840995788574,0.00179699994623661
106180136462231823,82,13.64627165,-1.51549746,15.9681997299194,0.0027320000808686,15.6731996536255,0.00363399996422231,15.5705995559692,0.00255499989725649,15.5662002563477,0.00401199981570244
106320116928660133,86,11.69287642,-1.40024648,13.9709997177124,0.0043049999512732,13.1440000534058,-999,12.8970003128052,-999,12.7880001068115,-999
106390132605696648,64,13.26055358,-1.33650241,14.6656999588013,0.00347999995574355,14.2908000946045,0.00772499991580844,14.1149997711182,0.00253499997779727,14.0836000442505,0.00268699997104704
106220138476937883,63,13.84768804,-1.47705312,15.9968004226685,0.00374000007286668,14.8392000198364,0.00648400001227856,14.2266998291016,0.00414300011470914,13.9877004623413,0.000555999984499067
106290128777382554,71,12.87774457,-1.42328695,15.9629001617432,0.00521800015121698,15.539999961853,0.00451300013810396,15.375599861145,0.00274499994702637,15.3488998413086,0.00451399991288781
106400147109840661,81,14.71102873,-1.33318779,14.3753004074097,0.00876899994909763,13.9111003875732,0.00520499981939793,13.6990003585815,0.00100000004749745,13.6658000946045,0.00152100005652756
106430135822023971,72,13.58222837,-1.30541015,13.9029998779297,0.0020000000949949,13.3870000839233,-999,13.1140003204346,-999,12.9680004119873,-999
106680125974481747,6,12.5974579,-1.09908388,14.0921001434326,0.00148300000000745,14.0553998947144,0.00114299997221679,13.7931995391846,0.117886997759342,13.2671003341675,0.00100000004749745
106570142931005480,76,14.29311371,-1.18748094,13.0740003585815,-999,12.7440004348755,-999,12.6490001678467,-999,12.6370000839233,-999
106640117943396009,80,11.79432695,-1.12869646,13.3730001449585,-999,12.8590002059937,-999,12.6850004196167,-999,12.6160001754761,-999
106440126143660895,69,12.61434854,-1.29963309,15.1281003952026,0.00632600020617247,14.4659996032715,0.00369099993258715,14.2354001998901,0.00258100009523332,14.1546001434326,0.00363499997183681
106510136822651429,71,13.68225678,-1.24079954,13.8538999557495,0.00547700002789497,13.5834999084473,0.00190699996892363,13.3540000915527,-999,13.2797002792358,0.00138699996750802
106650118374668659,83,11.83746902,-1.1181992,13.765700340271,0.00458899978548288,13.3920001983643,-999,13.3170003890991,-999,13.3324003219604,0.00373300001956522
106620119687794643,92,11.96887046,-1.14654421,14.256799697876,0.0704160034656525,12.8073997497559,0,12.4617004394531,0.0016509999986738,13.7455997467041,0
106690147862279524,80,14.78631181,-1.08412358,15.1079998016357,0.00486900005489588,14.7255001068115,0.00236200005747378,14.5865001678467,0.00185100000817329,14.5614995956421,0.00293199997395277
106450129020379450,60,12.90207533,-1.28425257,14.0993003845215,0.00348499999381602,13.4879999160767,0,13.4460000991821,-999,13.3199996948242,0.00333500001579523
106720143688281269,75,14.36880173,-1.06600261,15.5010995864868,0.0035349999088794,14.861499786377,0.0023970000911504,14.5656003952026,0.00375899998471141,14.438099861145,0.00269700004719198
106590129410690225,69,12.9410977,-1.17514167,13.7068004608154,0.0052479999139905,13.3990001678467,-999,13.2390003204346,-999,13.1450004577637,0.0127879995852709
106490144747803949,81,14.47479949,-1.25546657,15.3416004180908,0.00306400004774332,14.6965999603271,0.00304399989545345,14.4721002578735,0.00312600005418062,14.3765001296997,0.00178199994843453
106700144851159345,65,14.48513717,-1.07596156,15.083399772644,0.00190799997653812,14.7849998474121,0.00287399999797344,14.6574001312256,0.00421700021252036,14.6342000961304,0.002919000107795
106740147327149992,85,14.7327859,-1.04205295,15.7513999938965,0.0038079998921603,15.1291999816895,0.00262799998745322,14.907600402832,0.00221799989230931,14.8219003677368,0.00187200005166233
106730119820158292,71,11.98203553,-1.05179161,14.1027002334595,0.0132099995389581,13.7688999176025,0.00267599988728762,13.6366996765137,0.0112370001152158,13.6445999145508,0.00161000003572553
106460138284977817,74,13.82849975,-1.27717784,12.9840002059937,-999,12.9890003204346,-999,13.0790004730225,-999,15.2694997787476,0.0480160005390644
