#field RA        DEC
20189 141.3333   2.7273
30189 141.3333  -2.7273
20190 144.0000   2.7273
30190 144.0000  -2.7273
20191 146.6667   2.7273
30191 146.6667  -2.7273
20192 149.3333   2.7273
30192 149.3333  -2.7273
20193 152.0000   2.7273
30193 152.0000  -2.7273
20194 154.6667   2.7273
30194 154.6667  -2.7273
20195 157.3333   2.7273
30195 157.3333  -2.7273
20196 160.0000   2.7273
30196 160.0000  -2.7273
20197 162.6667   2.7273
30197 162.6667  -2.7273
20198 165.3333   2.7273
30198 165.3333  -2.7273
20199 168.0000   2.7273
30199 168.0000  -2.7273
20200 170.6667   2.7273
30200 170.6667  -2.7273
20201 173.3333   2.7273
30201 173.3333  -2.7273
20202 176.0000   2.7273
30202 176.0000  -2.7273
20203 178.6667   2.7273
30203 178.6667  -2.7273
20204 181.3333   2.7273
30204 181.3333  -2.7273
20205 184.0000   2.7273
30205 184.0000  -2.7273
20206 186.6667   2.7273
30206 186.6667  -2.7273
20207 189.3333   2.7273
30207 189.3333  -2.7273
20208 192.0000   2.7273
30208 192.0000  -2.7273
20209 194.6667   2.7273
30209 194.6667  -2.7273
20210 197.3333   2.7273
30210 197.3333  -2.7273
20211 200.0000   2.7273
30211 200.0000  -2.7273
20212 202.6667   2.7273
30212 202.6667  -2.7273
20213 205.3333   2.7273
30213 205.3333  -2.7273
20214 208.0000   2.7273
30214 208.0000  -2.7273
20215 210.6667   2.7273
30215 210.6667  -2.7273
20216 213.3333   2.7273
30216 213.3333  -2.7273
20217 216.0000   2.7273
30217 216.0000  -2.7273
20218 218.6667   2.7273
30218 218.6667  -2.7273
20219 221.3333   2.7273
30219 221.3333  -2.7273
20220 224.0000   2.7273
30220 224.0000  -2.7273
20221 226.6667   2.7273
30221 226.6667  -2.7273
20222 229.3333   2.7273
30222 229.3333  -2.7273
20223 232.0000   2.7273
30223 232.0000  -2.7273
20224 234.6667   2.7273
30224 234.6667  -2.7273
20225 237.3333   2.7273
30225 237.3333  -2.7273
20226 240.0000   2.7273
30226 240.0000  -2.7273
20227 242.6667   2.7273
30227 242.6667  -2.7273
20228 245.3333   2.7273
30228 245.3333  -2.7273
20229 248.0000   2.7273
30229 248.0000  -2.7273
20230 250.6667   2.7273
30230 250.6667  -2.7273
20231 253.3333   2.7273
30231 253.3333  -2.7273
20232 256.0000   2.7273
30232 256.0000  -2.7273
20233 258.6667   2.7273
30233 258.6667  -2.7273
20234 261.3333   2.7273
30234 261.3333  -2.7273
20235 264.0000   2.7273
30235 264.0000  -2.7273
20236 266.6667   2.7273
30236 266.6667  -2.7273
20237 269.3333   2.7273
30237 269.3333  -2.7273
20238 272.0000   2.7273
30238 272.0000  -2.7273
20239 274.6667   2.7273
30239 274.6667  -2.7273
20240 277.3333   2.7273
30240 277.3333  -2.7273
20241 280.0000   2.7273
30241 280.0000  -2.7273
20242 282.6667   2.7273
30242 282.6667  -2.7273
20243 285.3333   2.7273
30243 285.3333  -2.7273
20244 288.0000   2.7273
30244 288.0000  -2.7273
20245 290.6667   2.7273
30245 290.6667  -2.7273
20246 293.3333   2.7273
30246 293.3333  -2.7273
20247 296.0000   2.7273
30247 296.0000  -2.7273
20248 298.6667   2.7273
30248 298.6667  -2.7273
20249 301.3333   2.7273
30249 301.3333  -2.7273
20250 304.0000   2.7273
30250 304.0000  -2.7273
20251 306.6667   2.7273
30251 306.6667  -2.7273
20252 309.3333   2.7273
30252 309.3333  -2.7273
20253 312.0000   2.7273
30253 312.0000  -2.7273
20254 314.6667   2.7273
30254 314.6667  -2.7273
20255 317.3333   2.7273
30255 317.3333  -2.7273
20256 320.0000   2.7273
30256 320.0000  -2.7273
20257 322.6667   2.7273
30257 322.6667  -2.7273
20258 325.3333   2.7273
30258 325.3333  -2.7273
20259 328.0000   2.7273
30259 328.0000  -2.7273
20260 330.6667   2.7273
30260 330.6667  -2.7273
20261 333.3333   2.7273
30261 333.3333  -2.7273
20262 336.0000   2.7273
30262 336.0000  -2.7273
20263 338.6667   2.7273
30263 338.6667  -2.7273
20264 341.3333   2.7273
30264 341.3333  -2.7273
20265 344.0000   2.7273
30265 344.0000  -2.7273
20266 346.6667   2.7273
30266 346.6667  -2.7273
20267 349.3333   2.7273
30267 349.3333  -2.7273
20268 352.0000   2.7273
30268 352.0000  -2.7273
20269 354.6667   2.7273
30269 354.6667  -2.7273
20270 357.3333   2.7273
30270 357.3333  -2.7273
20271   0.0000   5.4545
30271   0.0000  -5.4545
20272   2.6866   5.4545
30272   2.6866  -5.4545
20273   5.3731   5.4545
30273   5.3731  -5.4545
20274   8.0597   5.4545
30274   8.0597  -5.4545
20275  10.7463   5.4545
30275  10.7463  -5.4545
20276  13.4328   5.4545
30276  13.4328  -5.4545
20277  16.1194   5.4545
30277  16.1194  -5.4545
20278  18.8060   5.4545
30278  18.8060  -5.4545
20279  21.4925   5.4545
30279  21.4925  -5.4545
20280  24.1791   5.4545
